CustomerID,Country,Customer_Segment,ML_Cluster,Recency,Frequency,Monetary,RFM_Value,AvgOrderValue,UniqueProducts,CustomerLifetime,CLV,Churn_Probability,Churn_Risk_Level,Churned,FirstPurchase,LastPurchase,RFM_Category,CLV_Category,Recency_Category
12347.0,Iceland,Champions,0,2,7,2783.37,15,397.6242857142857,93,366,977.0655224470755,0.0,,0,2010-12-07 14:57:00,2011-12-07 15:52:00,Premium,Medium CLV,Active
12348.0,Finland,Promising,2,249,3,90.2,5,30.066666666666666,6,110,105.35318861553307,0.9828571428571428,High,1,2010-12-16 19:09:00,2011-04-05 10:47:00,Low Value,Low CLV,Lost
12349.0,Italy,Potential Loyalists,0,19,1,939.75,9,939.75,57,1,120738.60853835024,0.002727272727272727,Low,0,2011-11-21 09:51:00,2011-11-21 09:51:00,High Value,Premium CLV,Active
12350.0,Norway,Lost Customers,2,310,1,294.4,4,294.4,16,1,37824.3643029426,1.0,High,1,2011-02-02 16:01:00,2011-02-02 16:01:00,Low Value,Premium CLV,Lost
12352.0,Norway,At Risk,1,36,7,1130.94,12,161.56285714285715,49,261,556.7149571668581,0.0,,0,2011-02-16 12:33:00,2011-11-03 14:37:00,Premium,Medium CLV,Recent
12353.0,Bahrain,Lost Customers,2,204,1,29.300000000000004,3,29.300000000000004,2,1,3764.449300530633,1.0,High,1,2011-05-19 17:47:00,2011-05-19 17:47:00,Low Value,High CLV,Lost
12354.0,Spain,New Customers,0,232,1,642.13,6,642.13,39,1,82500.5402508442,1.0,High,1,2011-04-21 13:11:00,2011-04-21 13:11:00,Medium Value,Premium CLV,Lost
12355.0,Bahrain,Lost Customers,2,214,1,179.4,4,179.4,8,1,23049.221997105647,1.0,High,1,2011-05-09 13:49:00,2011-05-09 13:49:00,Low Value,Premium CLV,Lost
12356.0,Portugal,New Customers,2,246,2,491.06,6,245.53,25,81,778.9029930976161,0.9980764163372859,High,1,2011-01-18 09:50:00,2011-04-08 12:33:00,Medium Value,Medium CLV,Lost
12357.0,Switzerland,Loyal Customers,0,33,1,1289.3500000000001,10,1289.3500000000001,67,1,165655.0411480946,0.002727272727272727,Low,0,2011-11-06 16:07:00,2011-11-06 16:07:00,High Value,Premium CLV,Recent
12358.0,Austria,Potential Loyalists,1,2,2,92.82,8,46.41,5,150,79.50311355523398,0.02,Low,0,2011-07-12 10:04:00,2011-12-08 10:26:00,Medium Value,Low CLV,Active
12359.0,Cyprus,At Risk,0,58,4,3072.9300000000003,12,768.2325000000001,156,275,1435.66728998816,0.0,,0,2011-01-12 12:43:00,2011-10-13 12:47:00,Premium,High CLV,Recent
12360.0,Austria,At Risk,0,52,3,1793.3600000000001,11,597.7866666666667,97,149,1546.3757925646785,0.006607142857142857,Low,0,2011-05-23 09:43:00,2011-10-18 15:22:00,High Value,High CLV,Recent
12361.0,Belgium,Lost Customers,2,287,1,174.9,4,174.9,9,1,22471.06425470333,1.0,High,1,2011-02-25 13:51:00,2011-02-25 13:51:00,Low Value,Premium CLV,Lost
12362.0,Belgium,Champions,4,3,10,3922.54,15,392.254,170,293,1720.020379888342,0.0,,0,2011-02-17 10:30:00,2011-12-06 15:40:00,Premium,High CLV,Active
12363.0,Unspecified,Cannot Lose Them,1,110,2,345.78000000000003,7,172.89000000000001,17,133,334.0273753849168,0.9777355072463769,High,1,2011-04-11 13:29:00,2011-08-22 10:18:00,Medium Value,Low CLV,Dormant
