CustomerID,YearMonth,Monthly_Revenue,Monthly_Orders,Monthly_Quantity,Customer_Segment,CLV_Category,Country
12347.0,2010-12,485.29,1,205,Champions,Medium CLV,Iceland
12347.0,2011-01,437.14,1,312,Champions,Medium CLV,Iceland
12347.0,2011-04,325.0,1,204,Champions,Medium CLV,Iceland
12347.0,2011-06,298.71999999999997,1,140,Champions,Medium CLV,Iceland
12347.0,2011-08,342.66,1,226,Champions,Medium CLV,Iceland
12347.0,2011-10,752.3,1,470,Champions,Medium CLV,Iceland
12347.0,2011-12,142.26,1,144,Champions,Medium CLV,Iceland
12348.0,2010-12,52.800000000000004,1,96,Promising,Low CLV,Finland
12348.0,2011-01,20.4,1,24,Promising,Low CLV,Finland
12348.0,2011-04,17.0,1,20,Promising,Low CLV,Finland
12349.0,2011-11,939.75,1,511,Potential Loyalists,Premium CLV,Italy
12350.0,2011-02,294.4,1,196,Lost Customers,Premium CLV,Norway
12352.0,2011-02,228.4,1,92,At Risk,Medium CLV,Norway
12352.0,2011-03,311.01,3,147,At Risk,Medium CLV,Norway
12352.0,2011-09,413.7,2,142,At Risk,Medium CLV,Norway
12352.0,2011-11,177.82999999999998,1,119,At Risk,Medium CLV,Norway
12353.0,2011-05,29.300000000000004,1,14,Lost Customers,High CLV,Bahrain
12354.0,2011-04,642.13,1,355,New Customers,Premium CLV,Spain
12355.0,2011-05,179.4,1,72,Lost Customers,Premium CLV,Bahrain
12356.0,2011-01,223.2,1,192,New Customers,Medium CLV,Portugal
12356.0,2011-04,267.86,1,194,New Customers,Medium CLV,Portugal
12357.0,2011-11,1289.3500000000001,1,1077,Loyal Customers,Premium CLV,Switzerland
12358.0,2011-07,83.46000000000001,1,46,Potential Loyalists,Low CLV,Austria
12358.0,2011-12,9.36,1,24,Potential Loyalists,Low CLV,Austria
12359.0,2011-01,154.4,1,124,At Risk,High CLV,Cyprus
12359.0,2011-02,801.3100000000001,1,413,At Risk,High CLV,Cyprus
12359.0,2011-06,596.77,1,295,At Risk,High CLV,Cyprus
12359.0,2011-10,1520.45,1,573,At Risk,High CLV,Cyprus
12360.0,2011-05,631.08,1,376,At Risk,High CLV,Austria
12360.0,2011-08,337.1,1,222,At Risk,High CLV,Austria
12360.0,2011-10,825.1800000000001,1,478,At Risk,High CLV,Austria
12361.0,2011-02,174.9,1,90,Lost Customers,Premium CLV,Belgium
12362.0,2011-02,434.09999999999997,1,226,Champions,High CLV,Belgium
12362.0,2011-04,426.78,1,234,Champions,High CLV,Belgium
12362.0,2011-07,217.11,1,137,Champions,High CLV,Belgium
12362.0,2011-08,418.37,1,309,Champions,High CLV,Belgium
12362.0,2011-09,567.59,1,207,Champions,High CLV,Belgium
12362.0,2011-10,1119.81,3,491,Champions,High CLV,Belgium
12362.0,2011-11,295.54,1,134,Champions,High CLV,Belgium
12362.0,2011-12,443.24,1,214,Champions,High CLV,Belgium
12363.0,2011-04,251.4,1,276,Cannot Lose Them,Low CLV,Unspecified
12363.0,2011-08,94.38,1,42,Cannot Lose Them,Low CLV,Unspecified
12364.0,2011-08,541.9,1,514,Loyal Customers,High CLV,Belgium
12364.0,2011-10,269.06,1,266,Loyal Customers,High CLV,Belgium
12364.0,2011-12,295.32,1,501,Loyal Customers,High CLV,Belgium
12365.0,2011-02,307.94,1,172,New Customers,Premium CLV,Cyprus
12367.0,2011-12,138.3,1,112,Potential Loyalists,Premium CLV,Denmark
12370.0,2010-12,879.7,2,501,At Risk,Medium CLV,Cyprus
12370.0,2011-03,652.93,1,399,At Risk,Medium CLV,Cyprus
12370.0,2011-10,395.1,1,190,At Risk,Medium CLV,Cyprus
12371.0,2011-10,1201.46,1,472,Potential Loyalists,Premium CLV,Switzerland
12372.0,2011-02,315.52,1,216,At Risk,Low CLV,Denmark
12372.0,2011-05,173.1,1,242,At Risk,Low CLV,Denmark
12372.0,2011-09,174.92,1,92,At Risk,Low CLV,Denmark
12373.0,2011-02,221.10000000000002,1,126,Lost Customers,Premium CLV,Austria
12374.0,2011-11,479.71,1,313,Potential Loyalists,Premium CLV,Austria
12375.0,2011-09,158.5,1,82,Potential Loyalists,Low CLV,Finland
12375.0,2011-11,41.6,1,20,Potential Loyalists,Low CLV,Finland
12377.0,2010-12,686.52,1,504,Cannot Lose Them,High CLV,Switzerland
12377.0,2011-01,471.0,1,330,Cannot Lose Them,High CLV,Switzerland
12378.0,2011-08,3188.62,1,1987,Cannot Lose Them,Premium CLV,Switzerland
12379.0,2011-06,297.84,1,148,Cannot Lose Them,Medium CLV,Belgium
12379.0,2011-09,362.40000000000003,1,194,Cannot Lose Them,Medium CLV,Belgium
12380.0,2011-06,546.65,1,288,Champions,Medium CLV,Belgium
12380.0,2011-09,457.81,1,255,Champions,Medium CLV,Belgium
12380.0,2011-10,381.74,1,190,Champions,Medium CLV,Belgium
12380.0,2011-11,118.85,1,63,Champions,Medium CLV,Belgium
12381.0,2011-08,903.14,1,516,Champions,High CLV,Norway
12381.0,2011-10,10.5,2,2,Champions,High CLV,Norway
12381.0,2011-11,245.56,1,134,Champions,High CLV,Norway
12381.0,2011-12,94.26,1,90,Champions,High CLV,Norway
12383.0,2010-12,472.92,1,603,Cannot Lose Them,Medium CLV,Belgium
12383.0,2011-01,326.03999999999996,1,222,Cannot Lose Them,Medium CLV,Belgium
12383.0,2011-03,172.52,1,76,Cannot Lose Them,Medium CLV,Belgium
12383.0,2011-04,87.36,1,72,Cannot Lose Them,Medium CLV,Belgium
12383.0,2011-06,10.2,1,12,Cannot Lose Them,Medium CLV,Belgium
12384.0,2011-08,147.14000000000001,1,53,Potential Loyalists,Low CLV,Switzerland
12384.0,2011-11,139.18,1,54,Potential Loyalists,Low CLV,Switzerland
12386.0,2010-12,144.3,1,82,Lost Customers,Premium CLV,Australia
12388.0,2011-01,338.9,1,180,Champions,Medium CLV,Australia
12388.0,2011-02,124.05000000000001,1,37,Champions,Medium CLV,Australia
12388.0,2011-03,151.5,1,78,Champions,Medium CLV,Australia
12388.0,2011-07,523.13,1,321,Champions,Medium CLV,Australia
12388.0,2011-09,249.32000000000002,1,122,Champions,Medium CLV,Australia
12388.0,2011-11,78.76,1,76,Champions,Medium CLV,Australia
12390.0,2011-09,407.74,1,308,New Customers,Premium CLV,Belgium
12391.0,2011-11,428.11,1,270,Potential Loyalists,Premium CLV,Cyprus
12393.0,2011-01,497.90000000000003,2,250,At Risk,Medium CLV,Australia
12393.0,2011-04,223.6,1,104,At Risk,Medium CLV,Australia
12393.0,2011-09,472.0,1,264,At Risk,Medium CLV,Australia
12394.0,2011-05,331.18,1,178,New Customers,Premium CLV,Belgium
12395.0,2010-12,274.22,2,238,Champions,Medium CLV,Belgium
12395.0,2011-02,155.54999999999998,1,165,Champions,Medium CLV,Belgium
12395.0,2011-03,96.7,1,70,Champions,Medium CLV,Belgium
12395.0,2011-05,269.14,2,150,Champions,Medium CLV,Belgium
12395.0,2011-06,148.9,1,102,Champions,Medium CLV,Belgium
12395.0,2011-08,70.5,1,30,Champions,Medium CLV,Belgium
12395.0,2011-10,240.18,1,110,Champions,Medium CLV,Belgium
12395.0,2011-11,589.38,3,326,Champions,Medium CLV,Belgium
12397.0,2011-07,862.67,1,609,At Risk,High CLV,Belgium
12397.0,2011-11,857.34,1,530,At Risk,High CLV,Belgium
12398.0,2011-10,1273.24,1,1299,Potential Loyalists,Premium CLV,Switzerland
12399.0,2011-03,273.05,1,363,At Risk,Medium CLV,Belgium
12399.0,2011-05,221.55,1,147,At Risk,Medium CLV,Belgium
12399.0,2011-06,44.879999999999995,1,36,At Risk,Medium CLV,Belgium
12399.0,2011-08,145.12,1,144,At Risk,Medium CLV,Belgium
12401.0,2011-02,32.85,1,7,Lost Customers,High CLV,Belgium
12402.0,2011-01,195.6,1,92,Lost Customers,Premium CLV,Belgium
12403.0,2011-10,9.9,1,2,New Customers,High CLV,Denmark
12405.0,2011-07,708.57,1,407,Cannot Lose Them,Premium CLV,Finland
12406.0,2011-06,784.78,1,470,Loyal Customers,High CLV,Denmark
12406.0,2011-11,861.44,1,688,Loyal Customers,High CLV,Denmark
12407.0,2011-03,211.3,1,214,At Risk,Medium CLV,Belgium
12407.0,2011-04,147.06,1,102,At Risk,Medium CLV,Belgium
12407.0,2011-07,433.64,2,386,At Risk,Medium CLV,Belgium
12407.0,2011-10,140.01,1,112,At Risk,Medium CLV,Belgium
12408.0,2011-03,465.89,2,293,Champions,Medium CLV,Belgium
12408.0,2011-06,415.02,1,270,Champions,Medium CLV,Belgium
12408.0,2011-09,211.98,1,144,Champions,Medium CLV,Belgium
12408.0,2011-11,218.88,1,182,Champions,Medium CLV,Belgium
12409.0,2011-06,154.8,1,120,Cannot Lose Them,Low CLV,Switzerland
12409.0,2011-09,7.83,2,25,Cannot Lose Them,Low CLV,Switzerland
12410.0,2011-02,234.63,1,153,Lost Customers,Premium CLV,Switzerland
12412.0,2011-06,364.38,1,272,Cannot Lose Them,Medium CLV,Denmark
12412.0,2011-07,258.64,1,216,Cannot Lose Them,Medium CLV,Denmark
12412.0,2011-09,197.48000000000002,1,138,Cannot Lose Them,Medium CLV,Denmark
12413.0,2011-01,300.85,1,165,Potential Loyalists,Low CLV,France
12413.0,2011-04,68.15,1,23,Potential Loyalists,Low CLV,France
12413.0,2011-10,176.20000000000002,1,80,Potential Loyalists,Low CLV,France
12414.0,2011-02,75.0,1,60,Promising,Low CLV,Austria
12414.0,2011-04,13.200000000000001,1,24,Promising,Low CLV,Austria
12414.0,2011-05,86.25,1,33,Promising,Low CLV,Austria
12415.0,2011-01,17.700000000000003,1,6,At Risk,Low CLV,Australia
12415.0,2011-02,67.2,1,16,At Risk,Low CLV,Australia
12415.0,2011-05,155.7,1,102,At Risk,Low CLV,Australia
12415.0,2011-06,70.28999999999999,1,75,At Risk,Low CLV,Australia
12415.0,2011-07,124.3,1,60,At Risk,Low CLV,Australia
12415.0,2011-08,9.48,1,12,At Risk,Low CLV,Australia
12415.0,2011-10,14.850000000000001,1,3,At Risk,Low CLV,Australia
12415.0,2011-11,10.08,1,24,At Risk,Low CLV,Australia
12417.0,2010-12,140.64,1,48,Champions,Medium CLV,Belgium
12417.0,2011-01,151.79,1,61,Champions,Medium CLV,Belgium
12417.0,2011-03,205.45,1,110,Champions,Medium CLV,Belgium
12417.0,2011-04,292.9,1,252,Champions,Medium CLV,Belgium
12417.0,2011-06,246.44,1,118,Champions,Medium CLV,Belgium
12417.0,2011-08,597.5,2,409,Champions,Medium CLV,Belgium
12417.0,2011-10,237.75,1,85,Champions,Medium CLV,Belgium
12417.0,2011-12,219.88,1,163,Champions,Medium CLV,Belgium
